T,Date,SPX_close,SPLRCT_close,SPLRCL_close,SPLRCM_close,SPLRCREC_close,SPLRCS_close,SPSY_close,SPNY_close,SPXHC_close,SPLRCD_close,SPLRCI_close,SPLRCU_close,VIX_close,SPX_R,SPX_log_r,SPLRCT_R,SPLRCT_log_r,SPLRCL_R,SPLRCL_log_r,SPLRCM_R,SPLRCM_log_r,SPLRCREC_R,SPLRCREC_log_r,SPLRCS_R,SPLRCS_log_r,SPSY_R,SPSY_log_r,SPNY_R,SPNY_log_r,SPXHC_R,SPXHC_log_r,SPLRCD_R,SPLRCD_log_r,SPLRCI_R,SPLRCI_log_r,SPLRCU_R,SPLRCU_log_r,SPX_vol20,SPX_vol60,SPX_vol20_div_vol60,SPX_vol20_normalized,SPX_vol20_div_vol60_normalized,VIX_close_normalized
0,2015-01-05,2020.6,678.7,151.8,297.64,190.88,494.0,326.43,565.6,790.22,557.31,474.47,238.35,19.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
1,2015-01-06,2002.6,670.4,152.33,295.56,192.93,493.93,321.43,558.19,788.11,552.05,468.85,238.64,21.12,-0.008908245075720083,-0.0038861368238487966,-0.012229261824075539,-0.005343843569246693,0.0034914361001317593,0.0015136705252217588,-0.0069883080231151196,-0.0030456379787879182,0.01073973176865052,0.004639337976163676,-0.0001417004048582858,-6.154406442581672e-05,-0.015317219618294887,-0.006703656729245521,-0.013101131541725545,-0.005727348972527444,-0.0026701424919642804,-0.0011611790978041337,-0.009438194182770794,-0.004118421601499087,-0.011844795245220993,-0.0051748375228639195,0.001216698132997659,0.0005280840909455116,0.006299080501513341,0.006299080501513341,1.0,0.7071067811865476,,0.7071067811865465
2,2015-01-07,2025.9,676.2,150.28,298.52,195.85,502.55,324.98,560.09,806.0,560.5,471.71,240.97,19.31,0.011634874662938272,0.005023792610488112,0.008651551312649266,0.00374116080753013,-0.01345762489332378,-0.005884255693336363,0.01001488699418047,0.004327775061629643,0.015135023065360428,0.006523811581454374,0.01745186564897861,0.007513872464812426,0.011044395358242887,0.0047702260517232436,0.0034038589010909853,0.001475766909220653,0.0226998769207344,0.00974820368234742,0.015306584548501125,0.0065972027150216755,0.006100031993174697,0.002641162810256599,0.009763660744217284,0.0042197373019919795,0.010301673871659794,0.010301673871659794,1.0,0.918119020922139,,-0.8759668067459578
3,2015-01-08,2062.1,691.6,152.6,305.6,196.84,510.15,329.77,572.44,819.86,568.83,481.11,242.67,17.01,0.01786860160916127,0.007691717805002049,0.022774327122153173,0.009779818172134783,0.015437849347883904,0.006653347227514644,0.023717003885836932,0.010179916955294705,0.005054888945621696,0.0021897804781585155,0.015122873345935659,0.006518613664369816,0.014739368576527674,0.0063545099102534945,0.02205002767412384,0.009472154322237478,0.017196029776674955,0.007404656409838236,0.014861730597680716,0.006406876013787222,0.01992749782705483,0.008569300769019109,0.00705482010208735,0.0030531124799470393,0.01194394093547316,0.01194394093547316,1.0,0.9044961817155929,,-1.35014058219864
4,2015-01-09,2044.8,689.6,151.59,304.07,197.13,506.05,325.36,567.92,813.23,562.34,475.87,241.09,17.55,-0.008389505843557517,-0.003658885766540734,-0.002891844997108155,-0.0012577317852285684,-0.006618610747051054,-0.002883980660968711,-0.005006544502617898,-0.002179775787662567,0.0014732777890672222,0.0006393655481345613,-0.008036851906302002,-0.00350446179424855,-0.013372956909360974,-0.005846984855959336,-0.007896024037453873,-0.003442809881669475,-0.008086746517698138,-0.0035263068591864766,-0.011409384174533707,-0.004983516386429999,-0.010891480118891747,-0.004756057239989317,-0.006510899575555216,-0.0028368931756908786,0.011985427863030971,0.011985427863030971,1.0,0.762380517667243,,-0.8446253808699731
5,2015-01-12,2028.3,680.4,152.44,303.13,198.13,504.31,322.6,552.0,812.68,559.68,472.73,240.45,19.6,-0.00806924882629108,-0.0035186458225258555,-0.013341067285382896,-0.00583294787612499,0.00560723002836595,0.0024283871422366952,-0.0030913934291445975,-0.001344654608411618,0.005072794602546543,0.002197517626461289,-0.003438395415472797,-0.0014958492924862273,-0.008482911236783842,-0.003699796343588403,-0.028032117199605508,-0.012348085436905333,-0.0006763154335182768,-0.0002938194293136349,-0.0047302343777787135,-0.0020591887597667113,-0.006598440750625142,-0.0028751626688929234,-0.00265461031150199,-0.0011544155504283472,0.011546938186915386,0.011546938186915386,1.0,0.6019984384624231,,0.33500727130610847
6,2015-01-13,2023.0,679.9,152.62,299.61,197.56,504.24,321.51,547.99,808.73,559.02,471.81,241.21,20.56,-0.0026130256865355,-0.0011363078849756195,-0.0007348618459729571,-0.0003192637664203891,0.00118079244292841,0.00051250911830284,-0.011612179592913871,-0.005072614911585873,-0.0028768990057032916,-0.0012512220471284409,-0.00013880351371179072,-6.028578410992822e-05,-0.0033787972721637687,-0.0014698776207624443,-0.007264492753623172,-0.0031664443989263126,-0.004860461682334906,-0.002116018276922421,-0.001179245283018811,-0.000512441926006896,-0.0019461426184080044,-0.0008460225076844679,0.0031607402786442895,0.001370527260583004,0.010614510452535563,0.010614510452535563,1.0,0.3761574335836977,,0.8372639416845068
7,2015-01-14,2011.3,676.3,151.98,296.05,198.7,502.91,316.95,548.68,807.94,552.58,469.11,243.49,21.48,-0.005783489866534872,-0.0025190291669212896,-0.0052948963082806635,-0.002305653748768277,-0.004193421569912297,-0.001825009044240891,-0.01188211341410501,-0.005191239177973257,0.005770398866167171,0.002498849620304553,-0.0026376328732349357,-0.00114702278050383,-0.014183073621349266,-0.006203729324185702,0.0012591470647273506,0.000546496634457439,-0.000976840230979392,-0.00042444366260561153,-0.011520160280490754,-0.005032183798822178,-0.005722642589177823,-0.002492450621988823,0.009452344430164591,0.004085821011665089,0.01005356236685237,0.01005356236685237,1.0,0.23421606806743883,,1.1966805438847976
8,2015-01-15,1992.7,666.4,151.97,295.67,199.2,503.66,312.9,542.06,799.29,545.68,466.42,245.23,22.39,-0.009247750211306076,-0.004034932801791063,-0.014638474049977788,-0.006404399026611522,-6.57981313330103e-05,-2.857670551469147e-05,-0.001283566965039674,-0.0005578041161713982,0.0025163563160543532,0.0010914669778647969,0.0014913205146049988,0.0006471898063829901,-0.012778040700425972,-0.005585192961801326,-0.012065320405336453,-0.005271769207313186,-0.010706240562418113,-0.0046747304862923824,-0.01248687972782238,-0.005457125550661727,-0.005734262752872456,-0.002497526270572948,0.007146084028091423,0.0030924684542257843,0.009842730915049712,0.009842730915049712,1.0,0.17334147313451734,,1.4205820503670643
9,2015-01-16,2019.4,672.5,154.48,300.55,200.67,507.61,316.65,559.36,814.62,552.84,469.58,247.4,20.95,0.0133989060069253,0.005780431121603117,0.009153661464585868,0.003957300275714468,0.016516417714022444,0.007114397302661396,0.016504887205330252,0.0071094710027878654,0.007379518072289151,0.003193116584615818,0.00784259222491361,0.0033927080358101907,0.011984659635666348,0.005173929217144298,0.03191528613068677,0.013644045860873418,0.01917952182562029,0.00825068888503482,0.013121243219469437,0.005661421777212836,0.0067750096479567085,0.002932426873651441,0.008848835786812446,0.003826097156801916,0.010407463593285773,0.010407463593285773,1.0,0.30396903037907946,,0.5658721419981099
