T,Date,SPX_close,SPLRCT_close,SPLRCL_close,SPLRCM_close,SPLRCREC_close,SPLRCS_close,SPSY_close,SPNY_close,SPXHC_close,SPLRCD_close,SPLRCI_close,SPLRCU_close,VIX_close,SPX_R,SPX_log_r,SPLRCT_R,SPLRCT_log_r,SPLRCL_R,SPLRCL_log_r,SPLRCM_R,SPLRCM_log_r,SPLRCREC_R,SPLRCREC_log_r,SPLRCS_R,SPLRCS_log_r,SPSY_R,SPSY_log_r,SPNY_R,SPNY_log_r,SPXHC_R,SPXHC_log_r,SPLRCD_R,SPLRCD_log_r,SPLRCI_R,SPLRCI_log_r,SPLRCU_R,SPLRCU_log_r,SPX_vol20,SPX_vol60,SPX_vol20_div_vol60,SPX_vol20_normalized,SPX_vol20_div_vol60_normalized,VIX_close_normalized
12,2010-01-21,1116.5,366.6,106.52,195.21,90.45,272.21,197.35,432.0,372.12,233.42,247.82,155.21,22.27,-0.018892794376098417,-0.00828353465159558,-0.009991898460707504,-0.0043612514232446945,-0.007084265473527266,-0.0030876070766388914,-0.043275828268966796,-0.019213253405631143,-0.03262032085561494,-0.014403039676685214,-0.014945357168705204,-0.0065396777035142,-0.029601219452229974,-0.01304975789757079,-0.01994146872660455,-0.008747986501407618,-0.02189512419503216,-0.009614576151618932,-0.012939783491204341,-0.005656351991184839,-0.022097703417251972,-0.0097045339390083,-0.014101505430985192,-0.006167796537316144,0.008807116718390965,0.008807116718390965,1.0,1.7710691161476462,,2.684746021961761
13,2010-01-22,1091.8,352.4,105.14,190.8,88.2,271.3,190.93,422.56,367.69,229.1,244.05,151.84,27.31,-0.022122704881325613,-0.009715637437514338,-0.03873431533006013,-0.017156560886187607,-0.01295531355613965,-0.005663185084497191,-0.022591055786076515,-0.009923691085441836,-0.02487562189054726,-0.010939986064012818,-0.0033430072370595064,-0.0014542817899449246,-0.03253103623004808,-0.014362958174318579,-0.021851851851851848,-0.00959536295206329,-0.011904761904761923,-0.0052011936858077845,-0.018507411532859196,-0.008112975534149365,-0.015212654345896142,-0.006657540649347855,-0.021712518523291053,-0.009533503829355427,0.010158310027848736,0.010158310027848736,1.0,1.856020464320998,,3.0408927965751436
14,2010-01-25,1096.8,354.8,106.25,192.29,89.09,271.85,191.94,425.17,367.53,229.88,245.17,152.69,25.41,0.0045795933321121085,0.0019843518115137512,0.006810442678774217,0.002947711419678551,0.010557352101959287,0.004560966039942733,0.007809224318658179,0.003378329066742444,0.01009070294784581,0.004360373803493921,0.0020272760781423196,0.0008795435761335042,0.005289896820824338,0.0022913179105351596,0.0061766376372586465,0.0026742292459276842,-0.0004351491745764775,-0.00018902401512874484,0.003404626800523794,0.0014760992722625218,0.004589223519770441,0.0019885150628291214,0.005597997892518403,0.0024244000149170643,0.009962491616771383,0.009962491616771383,1.0,1.564782024054315,,1.9059592813982535
15,2010-01-26,1092.2,354.8,104.96,190.22,88.33,271.86,188.7,423.12,365.91,230.09,244.88,153.26,24.55,-0.004194018964259582,-0.0018252695819315993,0.0,0.0,-0.012141176470588294,-0.005305116690764129,-0.010764990379114844,-0.00470052209631164,-0.008530699292849985,-0.003720728498407675,3.6784991723343406e-05,1.5975225099837304e-05,-0.016880275085964413,-0.007393590302819364,-0.00482160077145615,-0.0020990590978484038,-0.004407803444616624,-0.0019185160471911445,0.0009135200974421784,0.0003965556342212237,-0.0011828527144430072,-0.0005140104660909398,0.003733053900058898,0.0016182261225329306,0.00963869367687849,0.00963869367687849,1.0,1.3301476108390466,,1.4472238617294655
16,2010-01-27,1097.5,357.0,105.34,188.72,89.19,272.18,193.07,420.67,368.01,230.9,245.34,152.47,23.14,0.004852591100530997,0.0021023567146343973,0.006200676437429505,0.0026846049525044444,0.003620426829268385,0.0015694919898770283,-0.007885606140258648,-0.0034382494609680684,0.009736216460998521,0.004207933487694176,0.0011770764364010637,0.0005108971775457552,0.0231584525702173,0.009942896417978355,-0.005790319531102261,-0.002522012516918259,0.005739116176108785,0.0024853414568373295,0.0035203615976357175,0.0015261888212951746,0.0018784710878798105,0.0008150443487014315,-0.005154639175257681,-0.002244420922452278,0.009490088575355589,0.009490088575355589,1.0,1.1900801360740745,,0.9377634522201947
17,2010-01-28,1084.5,346.5,104.35,185.17,88.59,271.5,192.29,416.41,365.51,229.42,242.38,150.82,23.73,-0.01184510250569476,-0.005174972563946892,-0.029411764705882353,-0.012964977164367649,-0.00939813935826855,-0.004100860619989246,-0.01881093683764313,-0.008247301308201511,-0.0067272115708038385,-0.00293146223985928,-0.0024983466823425924,-0.0010863758155095122,-0.004039985497487963,-0.0017580971480909444,-0.010126702641025009,-0.004420391038145303,-0.006793293660498356,-0.002960356660358629,-0.006409701169337454,-0.002792657490441239,-0.012064889541045112,-0.005271579800111227,-0.010821801010034798,-0.004725463846014276,0.009504651618107431,0.009504651618107431,1.0,1.1166124753049742,,1.0588426507047966
18,2010-01-29,1073.9,339.4,103.95,182.5,88.13,270.88,190.92,410.57,363.75,228.13,240.06,149.93,24.62,-0.009774089442139151,-0.004265713971936854,-0.020490620490620556,-0.008991400966168588,-0.0038332534738858793,-0.0016679597339848025,-0.014419182372954515,-0.006307757776843997,-0.005192459645558279,-0.002260931562621481,-0.002283609576427273,-0.0009928931600057304,-0.007124655468303108,-0.0031052737406124143,-0.014024639177733559,-0.006133937789650915,-0.004815189734890949,-0.0020962613393385337,-0.005622875076279278,-0.0024488749473340916,-0.009571746843798965,-0.004176979375227574,-0.005901074128099632,-0.0025703954593022924,0.009391137656516077,0.009391137656516077,1.0,1.0237425793439296,,1.248607291091057
19,2010-02-01,1089.2,344.4,104.41,189.19,90.04,273.05,193.98,422.67,365.38,230.65,243.54,151.04,22.59,0.014247136604897992,0.00614379028965173,0.014731879787860933,0.006351304799960119,0.004425204425204365,0.0019176020948939926,0.03665753424657533,0.015635308412845224,0.02167252921820051,0.009311716206363,0.00801092734790319,0.0034652401067022053,0.016027655562539298,0.006905529300993402,0.029471222933969903,0.012614211181678606,0.004481099656357376,0.001941769464383905,0.011046333231052516,0.004771058464884455,0.014496375906023451,0.006250499938288235,0.0074034549456412,0.00320343596109512,0.00990136188615213,0.00990136188615213,1.0,1.1026584802298929,,0.5908022219476058
20,2010-02-02,1103.3,347.1,105.71,189.93,91.72,276.57,196.15,428.65,372.38,234.01,248.19,152.29,21.48,0.012945280940139468,0.005585985510716119,0.007839721254355534,0.003391470889794882,0.012450914663346396,0.005373977064388446,0.003911411808235156,0.0016953910357947945,0.01865837405597504,0.00802855972941888,0.012891411829335219,0.00556288882414088,0.011186720280441365,0.004831357470355068,0.014148153405730148,0.006101404214860954,0.01915813673435875,0.00824157613858553,0.014567526555386885,0.006280957662539819,0.019093372751909362,0.008213977346108351,0.008275953389830509,0.0035794097214848102,0.010442019701107861,0.010181425878501715,1.0255950223196533,1.1816555134162758,4.364357804719845,0.23049861746922012
21,2010-02-03,1097.3,348.1,104.85,188.09,90.13,275.15,193.51,425.41,368.14,234.37,247.29,151.14,21.6,-0.0054382307622586785,-0.0023682389789192724,0.002881014116969173,0.0012494096128764368,-0.008135464951281804,-0.0035476380254077498,-0.009687779708313606,-0.004227861793708249,-0.01733536851286528,-0.007594674991423036,-0.0051343240409300215,-0.0022355525485278005,-0.013459087433086998,-0.005884899531285509,-0.007558614254053312,-0.003295133530893825,-0.011386218379075164,-0.00497333961649158,0.0015383957950515518,0.0006676034171939861,-0.0036262540795358625,-0.0015777244836722322,-0.007551382231269326,-0.003291968793721916,0.01042851777137744,0.009976775736200849,1.0452793615012754,1.115745538947612,3.872516067873407,0.26341198979091457
