"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","169.41","166.78","170.48","166.55","3.73M","1.56%"
"12/30/2008","166.80","161.68","166.80","161.68","3.36M","3.17%"
"12/29/2008","161.68","163.52","163.52","159.34","3.06M","-1.15%"
"12/26/2008","163.56","162.55","164.05","162.44","1.99M","0.62%"
"12/24/2008","162.55","161.23","163.22","161.23","1.49M","0.82%"
"12/23/2008","161.23","163.42","164.61","160.44","4.42M","-1.34%"
"12/22/2008","163.42","168.53","168.53","160.24","4.75M","-3.03%"
"12/19/2008","168.53","169.03","172.20","166.82","7.84M","-0.30%"
"12/18/2008","169.03","172.24","173.82","167.12","6.36M","-1.86%"
"12/17/2008","172.24","171.52","174.50","168.28","5.67M","0.41%"
"12/16/2008","171.54","162.41","171.89","162.41","6.06M","5.62%"
"12/15/2008","162.41","164.77","166.45","160.18","4.78M","-1.44%"
"12/12/2008","164.79","164.12","165.79","159.25","7.36M","0.41%"
"12/11/2008","164.12","170.74","170.74","163.34","5.76M","-3.99%"
"12/10/2008","170.94","166.90","171.90","166.82","6.24M","2.39%"
"12/09/2008","166.95","171.94","173.67","166.38","6.87M","-2.90%"
"12/08/2008","171.94","166.01","173.99","166.01","9.06M","3.57%"
"12/05/2008","166.01","160.13","166.15","153.58","7.07M","3.67%"
"12/04/2008","160.14","159.68","165.56","157.49","8.19M","0.27%"
"12/03/2008","159.71","153.06","160.08","149.38","7.61M","4.28%"
"12/02/2008","153.15","146.72","153.34","146.72","7.24M","4.28%"
"12/01/2008","146.87","161.15","161.15","146.85","8.39M","-8.86%"
"11/28/2008","161.15","159.52","161.15","157.64","3.50M","1.02%"
"11/26/2008","159.52","150.97","160.05","147.84","7.56M","5.56%"
"11/25/2008","151.12","148.22","152.20","145.59","7.60M","1.89%"
"11/24/2008","148.32","137.64","151.22","137.64","8.42M","7.74%"
"11/21/2008","137.66","128.81","137.66","126.75","9.42M","6.85%"
"11/20/2008","128.83","136.19","140.51","128.26","10.89M","-5.40%"
"11/19/2008","136.19","146.20","147.39","136.17","7.79M","-6.88%"
"11/18/2008","146.25","146.14","149.03","141.34","6.41M","0.05%"
"11/17/2008","146.17","150.69","151.98","146.17","5.48M","-3.00%"
"11/14/2008","150.69","157.97","158.78","150.35","5.87M","-4.61%"
"11/13/2008","157.97","147.36","157.97","140.22","7.62M","7.20%"
"11/12/2008","147.36","157.12","157.12","147.10","6.51M","-6.22%"
"11/11/2008","157.14","161.76","161.76","153.97","5.92M","-2.86%"
"11/10/2008","161.76","166.02","170.29","159.47","5.06M","-2.57%"
"11/07/2008","166.02","162.83","166.74","161.58","5.90M","1.95%"
"11/06/2008","162.85","172.09","172.09","161.95","6.78M","-5.37%"
"11/05/2008","172.09","182.49","182.49","171.96","5.37M","-5.70%"
"11/04/2008","182.49","175.85","182.82","175.85","5.58M","3.76%"
"11/03/2008","175.87","178.62","180.00","174.03","4.72M","-1.54%"
"10/31/2008","178.62","173.89","181.45","171.26","6.58M","2.72%"
"10/30/2008","173.89","168.35","176.91","168.35","6.53M","3.27%"
"10/29/2008","168.38","168.49","176.94","163.87","8.02M","-0.07%"
"10/28/2008","168.49","148.97","168.49","148.60","7.30M","13.10%"
