"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/2009","266.97","266.49","268.03","265.89","193.61M","0.18%"
"10/26/2009","266.49","268.55","270.43","265.99","180.73M","-0.77%"
"10/23/2009","268.57","271.53","271.53","267.62","171.47M","-1.09%"
"10/22/2009","271.53","270.99","272.19","269.13","204.38M","0.18%"
"10/21/2009","271.04","273.06","274.51","270.82","221.10M","-0.86%"
"10/20/2009","273.38","273.82","274.54","272.55","193.63M","-0.17%"
"10/19/2009","273.85","272.40","274.92","272.35","187.50M","0.53%"
"10/16/2009","272.40","271.35","272.97","270.35","223.24M","0.39%"
"10/15/2009","271.35","269.10","271.35","268.90","225.10M","0.84%"
"10/14/2009","269.10","267.72","269.38","267.72","177.72M","0.52%"
"10/13/2009","267.72","268.33","268.33","267.03","180.26M","-0.23%"
"10/12/2009","268.33","267.92","269.78","267.91","156.66M","0.15%"
"10/09/2009","267.92","267.34","267.94","266.41","160.98M","0.22%"
"10/08/2009","267.34","265.82","267.61","265.82","195.09M","0.57%"
"10/07/2009","265.82","264.89","265.95","264.68","168.73M","0.34%"
"10/06/2009","264.93","262.65","265.42","262.65","214.03M","0.86%"
"10/05/2009","262.68","262.17","262.82","259.95","190.82M","0.19%"
"10/02/2009","262.17","260.72","262.89","260.45","219.88M","0.56%"
"10/01/2009","260.72","263.18","263.18","259.96","269.04M","-0.94%"
"09/30/2009","263.19","262.74","263.58","260.14","248.41M","0.17%"
"09/29/2009","262.75","261.61","263.80","261.61","218.26M","0.44%"
"09/28/2009","261.61","260.33","262.86","260.33","157.59M","0.45%"
"09/25/2009","260.43","261.06","262.13","260.34","203.49M","-0.24%"
"09/24/2009","261.06","261.93","263.19","260.56","190.74M","-0.44%"
"09/23/2009","262.21","262.29","265.15","262.21","203.03M","-0.03%"
"09/22/2009","262.29","262.29","262.69","261.24","180.82M","0.00%"
"09/21/2009","262.30","262.67","262.67","261.14","190.64M","-0.14%"
"09/18/2009","262.67","259.68","263.28","259.68","337.71M","1.14%"
"09/17/2009","259.72","259.82","260.89","259.33","222.04M","-0.04%"
"09/16/2009","259.82","258.14","259.82","257.47","224.80M","0.65%"
"09/15/2009","258.14","259.72","259.72","257.35","248.83M","-0.61%"
"09/14/2009","259.72","259.73","260.21","258.11","184.38M","0.00%"
"09/11/2009","259.73","258.77","260.27","258.72","201.14M","0.23%"
