"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","309.41","307.21","311.22","307.19","","0.72%"
"12/30/2008","307.21","300.00","307.27","300.00","","2.40%"
"12/29/2008","300.00","301.64","301.64","296.40","","-0.54%"
"12/26/2008","301.64","302.00","302.66","300.19","","0.16%"
"12/24/2008","301.17","300.96","302.50","299.90","","0.07%"
"12/23/2008","300.96","302.24","306.77","300.31","","-0.42%"
"12/22/2008","302.24","304.20","305.52","297.40","","-0.64%"
"12/19/2008","304.20","301.77","308.48","301.77","","0.81%"
"12/18/2008","301.77","301.77","301.77","301.77","","0.51%"
"12/17/2008","300.25","302.79","303.77","297.26","","-0.84%"
"12/16/2008","302.79","290.44","303.36","290.44","","4.25%"
"12/15/2008","290.44","291.66","293.56","287.78","","-0.42%"
"12/12/2008","291.66","290.61","291.87","284.43","","0.36%"
"12/11/2008","290.61","290.17","297.05","289.00","","0.15%"
"12/10/2008","290.17","288.51","293.11","287.10","","0.58%"
"12/09/2008","288.51","295.07","295.15","286.95","","-2.22%"
"12/08/2008","295.07","292.12","298.93","291.57","","1.01%"
"12/05/2008","292.12","282.26","293.78","275.37","","3.49%"
"12/04/2008","282.26","288.93","289.44","279.76","","-2.31%"
"12/03/2008","288.93","281.58","290.26","277.34","","2.61%"
"12/02/2008","281.58","272.36","281.94","272.36","","3.39%"
"12/01/2008","272.36","290.21","290.21","272.02","","-6.15%"
"11/28/2008","290.21","286.07","290.21","285.30","","1.22%"
"11/26/2008","286.72","283.33","286.81","277.41","","1.20%"
"11/25/2008","283.33","281.83","287.25","278.89","","0.53%"
"11/24/2008","281.83","273.29","286.38","273.29","","3.12%"
"11/21/2008","273.29","262.38","273.58","255.48","","4.16%"
"11/20/2008","262.38","280.33","283.58","260.10","","-6.40%"
"11/19/2008","280.33","293.96","297.67","280.30","","-4.64%"
"11/18/2008","293.96","291.44","295.86","284.02","","0.86%"
"11/17/2008","291.44","297.90","300.17","291.19","","-2.17%"
"11/14/2008","297.90","308.53","310.43","297.51","","-3.45%"
"11/13/2008","308.53","290.72","308.78","285.40","","6.13%"
"11/12/2008","290.72","301.34","301.34","290.25","","-3.52%"
"11/11/2008","301.34","305.95","306.21","297.71","","-1.51%"
"11/10/2008","305.95","307.55","313.69","302.79","","-0.52%"
"11/07/2008","307.55","298.96","309.36","298.96","","2.87%"
"11/06/2008","298.96","308.44","309.75","297.25","","-3.07%"
"11/05/2008","308.44","319.83","319.83","307.57","","-3.56%"
"11/04/2008","319.83","314.80","321.24","314.80","","1.60%"
"11/03/2008","314.80","312.67","316.04","312.55","","0.68%"
"10/31/2008","312.67","308.60","316.45","307.87","","1.32%"
"10/30/2008","308.60","301.69","310.89","301.69","","2.29%"
"10/29/2008","301.69","308.81","312.73","299.21","","-2.31%"
"10/28/2008","308.81","287.24","308.84","286.52","","7.51%"
"10/27/2008","287.24","296.96","299.79","287.02","","-3.27%"
"10/24/2008","296.96","304.99","304.99","290.60","","-2.63%"
"10/23/2008","304.99","300.24","309.70","290.91","","1.58%"
"10/22/2008","300.24","315.27","315.27","295.51","","-4.77%"
"10/21/2008","315.27","320.13","322.57","314.53","","-1.52%"
"10/20/2008","320.13","307.65","320.14","307.65","","4.06%"
"10/17/2008","307.65","307.48","320.41","301.07","","0.06%"
"10/16/2008","307.48","296.53","308.11","284.63","","3.69%"
"10/15/2008","296.53","317.84","317.84","296.14","","-6.70%"
"10/14/2008","317.84","318.01","329.67","312.76","","-0.05%"
"10/13/2008","318.01","282.86","318.32","282.86","","12.43%"
"10/10/2008","282.86","292.58","296.96","268.58","","-3.32%"
"10/09/2008","292.58","315.10","317.00","291.85","","-7.15%"
"10/08/2008","315.10","319.21","323.92","314.15","","-1.29%"
"10/07/2008","319.21","330.67","335.37","319.21","","-3.47%"
"10/06/2008","330.67","346.75","346.75","319.55","","-4.64%"
"10/03/2008","346.75","348.94","355.16","346.33","","-0.63%"
"10/02/2008","348.94","354.39","356.17","348.67","","-1.54%"
"10/01/2008","354.39","354.52","354.86","350.64","","-0.04%"
"09/30/2008","354.52","341.60","354.75","341.60","","3.78%"
"09/29/2008","341.60","362.62","362.62","341.60","","-5.80%"
"09/26/2008","362.62","361.31","363.26","358.42","","0.36%"
"09/25/2008","361.31","355.61","364.20","355.61","","1.60%"
"09/24/2008","355.61","353.64","357.32","352.36","","0.56%"
"09/23/2008","353.64","355.24","359.85","353.47","","-0.45%"
"09/22/2008","355.24","364.45","364.45","354.85","","-2.53%"
"09/19/2008","364.45","362.28","367.85","361.55","","0.60%"
"09/18/2008","362.28","354.88","363.81","351.81","","2.09%"
"09/17/2008","354.88","367.01","367.01","354.77","","-3.31%"
"09/16/2008","367.01","366.47","368.15","360.81","","0.15%"
"09/15/2008","366.47","373.87","373.87","366.47","","-1.98%"
"09/12/2008","373.87","374.66","374.66","370.93","","-0.21%"
"09/11/2008","374.66","369.62","375.07","367.60","","1.36%"
"09/10/2008","369.62","369.00","371.93","369.00","","0.17%"
"09/09/2008","369.00","375.33","378.30","369.00","","-1.69%"
"09/08/2008","375.33","367.76","376.41","367.76","","2.06%"
"09/05/2008","367.76","369.56","369.56","364.96","","-0.49%"
"09/04/2008","369.56","379.16","379.16","369.48","","-2.53%"
"09/03/2008","379.16","378.99","379.92","376.47","","0.04%"
"09/02/2008","378.99","379.62","386.25","377.65","","0.14%"
"08/29/2008","378.47","383.01","383.39","378.37","","-1.19%"
"08/28/2008","383.01","379.78","383.01","379.70","","0.85%"
"08/27/2008","379.78","379.97","380.52","377.18","","-0.05%"
"08/26/2008","379.97","379.83","382.14","378.11","","0.04%"
"08/25/2008","379.83","385.89","385.89","378.50","","-1.57%"
"08/22/2008","385.89","382.52","386.93","382.30","","0.88%"
"08/21/2008","382.52","381.59","383.22","378.63","","0.24%"
"08/20/2008","381.59","383.49","384.26","379.64","","-0.50%"
"08/19/2008","383.49","386.23","386.56","381.83","","-0.71%"
"08/18/2008","386.23","390.18","390.71","384.92","","-1.01%"
"08/15/2008","390.18","386.58","391.10","386.45","","0.93%"
"08/14/2008","386.58","384.91","389.51","381.98","","0.43%"
"08/13/2008","384.91","386.53","387.22","383.22","","-0.42%"
"08/12/2008","386.53","387.57","388.63","385.72","","-0.27%"
"08/11/2008","387.57","387.28","389.05","384.79","","0.07%"
"08/08/2008","387.28","378.20","387.28","378.20","","2.40%"
"08/07/2008","378.20","383.09","383.88","377.92","","-1.28%"
"08/06/2008","383.09","382.54","384.56","380.06","","0.14%"
"08/05/2008","382.54","373.03","382.54","373.03","","2.55%"
"08/04/2008","373.03","368.38","375.12","368.38","","1.26%"
"08/01/2008","368.38","372.03","372.03","367.25","","-0.98%"
"07/31/2008","372.03","370.79","375.83","370.19","","0.33%"
"07/30/2008","370.79","371.06","373.09","367.05","","-0.07%"
"07/29/2008","371.06","368.46","371.89","368.46","","0.71%"
"07/28/2008","368.46","372.08","374.18","368.41","","-0.97%"
"07/25/2008","372.08","369.70","372.61","369.70","","0.64%"
"07/24/2008","369.70","370.29","372.80","369.11","","-0.16%"
"07/23/2008","370.29","366.40","371.07","366.40","","1.06%"
"07/22/2008","366.40","362.96","367.61","360.71","","0.95%"
"07/21/2008","362.96","367.48","368.36","361.67","","-1.23%"
"07/18/2008","367.48","369.34","369.34","365.75","","-0.50%"
"07/17/2008","369.34","366.58","370.01","363.89","","0.75%"
"07/16/2008","366.58","364.00","368.14","363.78","","0.71%"
"07/15/2008","364.00","359.40","365.69","359.02","","1.28%"
"07/14/2008","359.40","359.98","363.40","358.73","","-0.16%"
"07/11/2008","359.98","364.37","364.37","357.84","","-1.20%"
"07/10/2008","364.37","362.73","365.85","360.45","","0.45%"
"07/09/2008","362.73","364.00","369.16","362.64","","-0.35%"
"07/08/2008","364.00","353.59","364.00","353.59","","2.94%"
"07/07/2008","353.59","355.68","356.83","350.84","","-0.48%"
"07/03/2008","355.31","354.81","357.01","354.01","","0.14%"
"07/02/2008","354.81","356.41","359.32","354.72","","-0.45%"
"07/01/2008","356.41","354.54","357.01","351.59","","0.53%"
"06/30/2008","354.54","351.12","356.62","350.29","","0.97%"
"06/27/2008","351.12","349.06","353.61","349.06","","0.59%"
"06/26/2008","349.06","356.55","356.55","349.05","","-2.10%"
"06/25/2008","356.55","353.62","359.29","353.16","","0.83%"
"06/24/2008","353.62","352.38","354.74","349.96","","0.35%"
"06/23/2008","352.38","351.20","353.49","351.20","","0.34%"
"06/20/2008","351.20","356.27","356.27","350.09","","-1.42%"
"06/19/2008","356.27","354.30","357.65","352.16","","0.56%"
"06/18/2008","354.30","357.34","358.12","354.20","","-0.85%"
"06/17/2008","357.34","358.85","361.03","357.16","","-0.42%"
"06/16/2008","358.85","360.47","360.47","355.90","","-0.45%"
"06/13/2008","360.47","356.04","360.47","356.04","","1.24%"
"06/12/2008","356.04","354.53","358.14","354.53","","0.43%"
"06/11/2008","354.53","359.73","359.73","353.96","","-1.45%"
"06/10/2008","359.73","361.88","361.88","358.37","","-0.59%"
