"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","1,198.13","1,207.32","1,207.46","1,194.34","147.29M","-0.65%"
"12/02/2024","1,205.97","1,214.76","1,214.76","1,204.37","151.20M","-0.66%"
"11/29/2024","1,214.04","1,212.78","1,217.09","1,212.65","85.04M","0.43%"
"11/27/2024","1,208.86","1,216.10","1,219.18","1,208.11","121.93M","-0.36%"
"11/26/2024","1,213.22","1,210.80","1,214.94","1,205.84","159.98M","0.15%"
"11/25/2024","1,211.38","1,210.01","1,214.59","1,206.35","247.51M","0.66%"
"11/22/2024","1,203.38","1,191.37","1,204.21","1,190.04","169.53M","1.36%"
"11/21/2024","1,187.25","1,178.05","1,191.49","1,174.64","188.97M","1.23%"
"11/20/2024","1,172.86","1,174.13","1,175.49","1,164.64","162.92M","0.10%"
"11/19/2024","1,171.74","1,164.09","1,174.31","1,163.85","169.39M","-0.06%"
"11/18/2024","1,172.47","1,172.36","1,177.27","1,169.89","185.04M","-0.17%"
"11/15/2024","1,174.44","1,176.71","1,183.40","1,171.77","191.63M","-0.60%"
"11/14/2024","1,181.55","1,200.63","1,201.82","1,180.74","184.22M","-1.69%"
"11/13/2024","1,201.82","1,201.62","1,208.46","1,200.38","185.88M","0.21%"
"11/12/2024","1,199.25","1,212.50","1,213.48","1,194.63","185.89M","-0.87%"
"11/11/2024","1,209.73","1,208.45","1,214.10","1,207.35","172.41M","0.80%"
"11/08/2024","1,200.17","1,190.67","1,204.32","1,189.57","178.36M","1.01%"
"11/07/2024","1,188.20","1,197.93","1,198.44","1,186.75","195.82M","-0.60%"
"11/06/2024","1,195.40","1,182.72","1,197.06","1,176.02","320.03M","3.93%"
"11/05/2024","1,150.16","1,134.39","1,150.26","1,133.59","173.53M","1.67%"
"11/04/2024","1,131.31","1,132.76","1,139.52","1,128.15","161.15M","-0.14%"
"11/01/2024","1,132.95","1,135.91","1,142.84","1,132.44","199.03M","0.16%"
"10/31/2024","1,131.09","1,134.57","1,137.89","1,127.68","264.57M","-1.13%"
"10/30/2024","1,144.02","1,141.92","1,150.38","1,140.42","227.42M","-0.19%"
"10/29/2024","1,146.21","1,143.13","1,150.62","1,138.24","232.62M","-0.14%"
"10/28/2024","1,147.78","1,150.40","1,152.00","1,147.69","181.27M","0.27%"
"10/25/2024","1,144.70","1,153.27","1,154.84","1,142.53","156.48M","-0.25%"
"10/24/2024","1,147.61","1,153.59","1,153.59","1,144.61","196.20M","-0.71%"
"10/23/2024","1,155.80","1,157.32","1,162.71","1,149.87","177.51M","-0.30%"
"10/22/2024","1,159.22","1,166.41","1,167.17","1,153.35","176.85M","-1.19%"
"10/21/2024","1,173.13","1,177.10","1,178.78","1,168.57","152.92M","-0.35%"
"10/18/2024","1,177.27","1,177.42","1,177.88","1,171.54","169.94M","0.26%"
"10/17/2024","1,174.20","1,178.81","1,178.81","1,172.06","186.57M","-0.25%"
"10/16/2024","1,177.15","1,169.47","1,179.62","1,169.47","189.49M","0.77%"
"10/15/2024","1,168.18","1,180.44","1,180.88","1,167.31","170.31M","-0.74%"
"10/14/2024","1,176.93","1,169.43","1,177.77","1,166.00","141.83M","0.57%"
"10/11/2024","1,170.25","1,155.08","1,170.64","1,155.08","185.99M","1.79%"
"10/10/2024","1,149.69","1,150.34","1,152.91","1,146.60","149.63M","-0.54%"
"10/09/2024","1,155.94","1,145.85","1,156.49","1,144.24","150.36M","0.92%"
"10/08/2024","1,145.39","1,147.48","1,148.88","1,141.46","149.05M","0.22%"
"10/07/2024","1,142.92","1,141.11","1,147.82","1,137.67","143.77M","-0.29%"
"10/04/2024","1,146.22","1,147.76","1,148.03","1,135.55","144.56M","0.63%"
"10/03/2024","1,139.08","1,142.47","1,144.34","1,135.06","159.70M","-0.49%"
"10/02/2024","1,144.70","1,143.81","1,149.04","1,140.38","145.74M","-0.20%"
"10/01/2024","1,146.94","1,147.08","1,152.34","1,137.84","182.08M","-0.01%"
"09/30/2024","1,147.06","1,139.46","1,147.51","1,134.74","188.79M","0.48%"
"09/27/2024","1,141.58","1,142.50","1,148.56","1,140.11","164.83M","0.15%"
"09/26/2024","1,139.87","1,142.41","1,146.58","1,138.45","206.77M","0.50%"
"09/25/2024","1,134.25","1,142.70","1,143.39","1,133.60","160.77M","-0.46%"
"09/24/2024","1,139.47","1,135.18","1,139.84","1,133.17","160.41M","0.70%"
"09/23/2024","1,131.53","1,127.19","1,133.30","1,124.34","149.39M","0.66%"
"09/20/2024","1,124.10","1,123.77","1,126.25","1,118.00","518.13M","-0.69%"
"09/19/2024","1,131.91","1,129.21","1,133.90","1,122.48","210.07M","1.75%"
"09/18/2024","1,112.43","1,115.92","1,126.97","1,111.57","192.67M","-0.09%"
"09/17/2024","1,113.39","1,109.73","1,117.57","1,107.68","193.94M","0.52%"
"09/16/2024","1,107.64","1,107.90","1,113.18","1,101.10","173.45M","0.53%"
"09/13/2024","1,101.79","1,095.58","1,105.91","1,094.53","219.85M","0.98%"
"09/12/2024","1,091.07","1,082.19","1,091.25","1,077.40","205.52M","0.72%"
"09/11/2024","1,083.23","1,077.99","1,084.16","1,056.62","196.48M","0.21%"
"09/10/2024","1,080.93","1,083.20","1,083.20","1,072.22","177.34M","0.18%"
"09/09/2024","1,079.04","1,070.66","1,083.19","1,070.66","210.10M","1.56%"
"09/06/2024","1,062.45","1,075.48","1,082.65","1,060.91","194.37M","-1.07%"
"09/05/2024","1,073.98","1,084.68","1,085.51","1,068.04","211.87M","-1.18%"
"09/04/2024","1,086.84","1,085.62","1,092.66","1,082.62","160.32M","0.11%"
"09/03/2024","1,085.61","1,105.41","1,106.04","1,081.47","206.80M","-2.27%"
"08/30/2024","1,110.78","1,101.34","1,111.38","1,094.82","190.36M","1.11%"
"08/29/2024","1,098.58","1,096.72","1,108.22","1,091.10","149.68M","0.70%"
"08/28/2024","1,090.96","1,092.32","1,097.56","1,085.87","148.30M","-0.04%"
"08/27/2024","1,091.44","1,089.81","1,092.34","1,086.08","139.89M","0.01%"
"08/26/2024","1,091.28","1,095.06","1,098.19","1,088.92","144.11M","-0.13%"
"08/23/2024","1,092.68","1,085.66","1,094.70","1,083.51","169.41M","1.04%"
"08/22/2024","1,081.44","1,084.28","1,087.19","1,078.47","146.63M","-0.18%"
"08/21/2024","1,083.37","1,080.52","1,084.74","1,078.11","143.81M","0.61%"
"08/20/2024","1,076.76","1,079.18","1,080.40","1,073.42","144.76M","-0.29%"
"08/19/2024","1,079.84","1,074.59","1,079.84","1,073.18","157.54M","0.59%"
"08/16/2024","1,073.54","1,074.71","1,075.94","1,068.80","182.91M","-0.19%"
"08/15/2024","1,075.62","1,071.13","1,078.32","1,068.78","195.60M","1.32%"
"08/14/2024","1,061.65","1,057.22","1,062.97","1,056.14","173.49M","0.42%"
"08/13/2024","1,057.24","1,050.46","1,057.65","1,043.64","183.84M","1.07%"
"08/12/2024","1,046.04","1,051.77","1,052.51","1,042.81","186.19M","-0.50%"
"08/09/2024","1,051.25","1,050.13","1,053.19","1,040.74","168.55M","0.02%"
"08/08/2024","1,051.05","1,033.96","1,051.74","1,033.71","212.43M","2.30%"
"08/07/2024","1,027.46","1,041.59","1,050.85","1,026.99","228.53M","-0.53%"
"08/06/2024","1,032.91","1,026.09","1,047.00","1,022.75","263.21M","1.18%"
"08/05/2024","1,020.89","1,020.72","1,030.57","1,007.89","312.78M","-1.72%"
"08/02/2024","1,038.80","1,050.61","1,050.61","1,028.79","292.76M","-2.20%"
"08/01/2024","1,062.17","1,080.17","1,087.53","1,055.60","276.42M","-1.83%"
"07/31/2024","1,081.94","1,080.44","1,092.15","1,077.30","269.73M","1.13%"
"07/30/2024","1,069.85","1,071.80","1,077.28","1,065.81","242.57M","0.27%"
"07/29/2024","1,066.92","1,071.90","1,071.90","1,063.79","206.21M","-0.16%"
"07/26/2024","1,068.60","1,060.24","1,076.03","1,060.24","270.92M","1.72%"
"07/25/2024","1,050.52","1,042.58","1,067.02","1,041.47","357.25M","0.76%"
"07/24/2024","1,042.61","1,061.51","1,062.12","1,041.60","267.47M","-2.17%"
"07/23/2024","1,065.69","1,062.85","1,071.18","1,061.95","240.48M","-0.21%"
"07/22/2024","1,067.90","1,062.22","1,068.05","1,053.69","197.58M","1.07%"
"07/19/2024","1,056.59","1,067.61","1,067.61","1,054.73","193.27M","-0.60%"
"07/18/2024","1,062.96","1,070.78","1,081.68","1,061.44","257.36M","-0.73%"
"07/17/2024","1,070.81","1,080.03","1,082.19","1,070.80","237.60M","-1.30%"
"07/16/2024","1,084.87","1,062.10","1,085.81","1,062.10","249.67M","2.54%"
"07/15/2024","1,058.03","1,054.84","1,063.27","1,051.16","201.54M","0.70%"
"07/12/2024","1,050.67","1,049.17","1,057.08","1,048.53","210.94M","0.53%"
"07/11/2024","1,045.13","1,034.01","1,048.58","1,033.62","305.76M","1.26%"
"07/10/2024","1,032.08","1,023.98","1,032.31","1,022.19","185.29M","0.90%"
"07/09/2024","1,022.88","1,027.15","1,029.24","1,022.77","164.52M","-0.45%"
"07/08/2024","1,027.54","1,028.59","1,033.76","1,025.13","169.87M","0.13%"
"07/05/2024","1,026.22","1,028.82","1,028.82","1,018.03","171.53M","-0.40%"
"07/03/2024","1,030.35","1,027.14","1,033.34","1,025.70","102.95M","0.40%"
"07/02/2024","1,026.22","1,019.04","1,026.38","1,018.85","173.16M","0.55%"
"07/01/2024","1,020.62","1,036.62","1,037.99","1,018.57","188.17M","-1.10%"
"06/28/2024","1,031.96","1,032.46","1,040.68","1,026.93","375.93M","0.08%"
"06/27/2024","1,031.13","1,031.17","1,033.18","1,027.70","192.72M","0.05%"
"06/26/2024","1,030.66","1,030.99","1,031.82","1,026.39","224.04M","-0.24%"
"06/25/2024","1,033.15","1,039.78","1,039.99","1,028.38","216.51M","-0.84%"
"06/24/2024","1,041.92","1,041.05","1,051.31","1,038.42","195.19M","0.36%"
"06/21/2024","1,038.17","1,040.30","1,040.30","1,029.23","357.17M","-0.14%"
"06/20/2024","1,039.62","1,037.95","1,042.55","1,035.79","184.49M","0.05%"
"06/18/2024","1,039.05","1,033.70","1,039.32","1,031.54","166.78M","0.55%"
"06/17/2024","1,033.35","1,018.68","1,035.27","1,017.94","189.88M","1.08%"
"06/14/2024","1,022.35","1,025.05","1,025.41","1,010.27","214.28M","-1.03%"
"06/13/2024","1,033.04","1,036.95","1,037.03","1,024.69","186.01M","-0.64%"
"06/12/2024","1,039.72","1,039.56","1,045.80","1,035.43","212.48M","0.93%"
"06/11/2024","1,030.18","1,031.40","1,031.40","1,023.86","171.37M","-0.54%"
"06/10/2024","1,035.77","1,031.33","1,037.14","1,031.10","200.50M","0.29%"
"06/07/2024","1,032.74","1,029.50","1,039.39","1,026.80","175.29M","0.10%"
"06/06/2024","1,031.70","1,037.50","1,039.22","1,027.89","201.63M","-0.60%"
"06/05/2024","1,037.91","1,031.27","1,037.91","1,026.00","193.62M","1.00%"
"06/04/2024","1,027.60","1,028.26","1,031.51","1,021.83","213.50M","-0.23%"
"06/03/2024","1,029.99","1,046.20","1,046.20","1,020.82","236.40M","-1.24%"
"05/31/2024","1,042.88","1,031.54","1,043.20","1,024.88","396.33M","1.16%"
"05/30/2024","1,030.92","1,024.98","1,031.44","1,024.85","213.95M","0.70%"
"05/29/2024","1,023.72","1,030.25","1,030.42","1,023.43","335.17M","-1.42%"
"05/28/2024","1,038.50","1,051.03","1,051.03","1,035.38","198.30M","-1.26%"
"05/24/2024","1,051.77","1,049.82","1,053.67","1,046.09","161.15M","0.55%"
"05/23/2024","1,046.02","1,061.30","1,061.30","1,044.32","219.12M","-1.22%"
"05/22/2024","1,058.90","1,056.71","1,061.62","1,053.45","188.51M","0.15%"
"05/21/2024","1,057.28","1,058.12","1,058.54","1,055.00","179.57M","-0.33%"
"05/20/2024","1,060.80","1,059.57","1,064.81","1,058.48","170.08M","0.17%"
"05/17/2024","1,059.01","1,060.08","1,060.55","1,054.01","171.88M","0.12%"
"05/16/2024","1,057.73","1,063.01","1,064.12","1,057.63","195.15M","-0.65%"
"05/15/2024","1,064.67","1,063.07","1,065.52","1,061.66","190.30M","0.63%"
"05/14/2024","1,058.01","1,059.85","1,061.90","1,055.71","189.87M","0.00%"
"05/13/2024","1,058.04","1,064.80","1,066.14","1,057.67","199.32M","-0.45%"
"05/10/2024","1,062.84","1,065.98","1,067.08","1,060.83","160.49M","0.08%"
"05/09/2024","1,062.00","1,052.86","1,062.25","1,052.86","191.96M","0.92%"
"05/08/2024","1,052.27","1,045.59","1,053.36","1,045.05","243.79M","0.03%"
"05/07/2024","1,051.98","1,050.88","1,055.04","1,049.77","209.25M","0.24%"
"05/06/2024","1,049.41","1,046.52","1,050.01","1,044.97","237.81M","1.00%"
"05/03/2024","1,038.97","1,040.72","1,041.61","1,034.04","216.82M","0.70%"
"05/02/2024","1,031.71","1,029.91","1,033.51","1,020.29","244.25M","0.56%"
"05/01/2024","1,025.94","1,027.52","1,039.40","1,023.55","262.53M","-0.21%"
"04/30/2024","1,028.09","1,042.23","1,044.71","1,028.01","274.21M","-1.64%"
"04/29/2024","1,045.24","1,040.18","1,045.85","1,039.97","227.58M","0.69%"
"04/26/2024","1,038.07","1,033.94","1,041.15","1,033.94","224.19M","0.17%"
"04/25/2024","1,036.29","1,025.96","1,038.73","1,020.66","305.10M","0.29%"
"04/24/2024","1,033.33","1,042.21","1,042.37","1,024.52","300.10M","-0.79%"
"04/23/2024","1,041.56","1,033.39","1,042.97","1,033.39","248.60M","1.40%"
"04/22/2024","1,027.14","1,024.81","1,033.92","1,021.41","224.67M","0.75%"
"04/19/2024","1,019.51","1,024.41","1,028.89","1,016.99","249.31M","-0.19%"
"04/18/2024","1,021.45","1,029.82","1,034.09","1,020.21","250.12M","-0.35%"
"04/17/2024","1,025.06","1,035.30","1,035.30","1,018.88","308.76M","-0.57%"
"04/16/2024","1,030.89","1,032.38","1,035.15","1,025.35","212.10M","-0.20%"
"04/15/2024","1,032.92","1,053.69","1,055.59","1,029.80","210.55M","-0.73%"
"04/12/2024","1,040.48","1,045.11","1,048.33","1,036.08","223.45M","-1.07%"
"04/11/2024","1,051.71","1,050.51","1,055.70","1,043.19","193.16M","0.11%"
"04/10/2024","1,050.60","1,046.92","1,053.55","1,043.40","264.02M","-0.84%"
"04/09/2024","1,059.47","1,063.31","1,065.89","1,047.54","210.92M","-0.22%"
"04/08/2024","1,061.84","1,065.55","1,066.42","1,061.43","215.86M","-0.21%"
"04/05/2024","1,064.12","1,052.75","1,066.40","1,051.80","213.40M","1.43%"
"04/04/2024","1,049.14","1,066.58","1,069.86","1,046.38","263.93M","-0.86%"
"04/03/2024","1,058.21","1,052.43","1,061.40","1,052.43","236.76M","0.51%"
"04/02/2024","1,052.80","1,044.03","1,057.21","1,043.23","259.51M","-0.52%"
"04/01/2024","1,058.31","1,066.85","1,067.39","1,057.48","211.77M","-0.79%"
"03/28/2024","1,066.71","1,067.03","1,068.98","1,064.39","216.24M","0.07%"
"03/27/2024","1,066.00","1,055.44","1,066.09","1,055.41","193.56M","1.60%"
"03/26/2024","1,049.22","1,052.93","1,055.92","1,049.08","195.63M","-0.36%"
"03/25/2024","1,053.05","1,058.73","1,060.28","1,052.72","181.22M","-0.68%"
"03/22/2024","1,060.31","1,066.04","1,067.71","1,059.93","169.79M","-0.34%"
"03/21/2024","1,063.94","1,057.46","1,066.38","1,056.57","221.11M","1.00%"
"03/20/2024","1,053.40","1,040.37","1,054.89","1,038.96","217.10M","1.21%"
"03/19/2024","1,040.77","1,033.29","1,041.04","1,032.09","194.58M","0.82%"
"03/18/2024","1,032.26","1,034.28","1,035.64","1,031.08","196.35M","0.17%"
"03/15/2024","1,030.54","1,024.95","1,034.29","1,024.95","403.00M","0.08%"
"03/14/2024","1,029.71","1,036.73","1,036.92","1,023.33","234.68M","-0.43%"
"03/13/2024","1,034.20","1,031.04","1,036.78","1,031.04","236.67M","0.24%"
"03/12/2024","1,031.69","1,026.48","1,032.72","1,022.72","282.90M","0.45%"
"03/11/2024","1,027.02","1,029.54","1,031.32","1,020.04","201.74M","-0.53%"
"03/08/2024","1,032.45","1,036.96","1,042.67","1,029.74","205.48M","-0.26%"
"03/07/2024","1,035.18","1,031.70","1,036.26","1,030.96","192.48M","0.83%"
"03/06/2024","1,026.69","1,026.80","1,032.62","1,024.82","190.77M","0.50%"
"03/05/2024","1,021.62","1,027.92","1,030.33","1,017.55","227.30M","-0.83%"
"03/04/2024","1,030.14","1,027.24","1,032.90","1,027.24","256.63M","0.38%"
"03/01/2024","1,026.20","1,021.17","1,026.98","1,018.97","199.99M","0.36%"
"02/29/2024","1,022.56","1,022.12","1,024.23","1,017.29","263.06M","0.34%"
"02/28/2024","1,019.07","1,015.21","1,021.90","1,014.17","163.86M","0.30%"
"02/27/2024","1,016.07","1,016.78","1,016.98","1,011.98","171.26M","0.12%"
"02/26/2024","1,014.90","1,015.68","1,018.51","1,014.15","193.39M","-0.11%"
"02/23/2024","1,016.05","1,012.95","1,018.02","1,012.82","201.11M","0.50%"
"02/22/2024","1,011.01","1,005.70","1,012.79","1,004.37","228.41M","1.21%"
"02/21/2024","998.90","994.93","999.33","992.64","185.33M","0.42%"
"02/20/2024","994.74","996.16","998.17","992.95","226.25M","-0.35%"
"02/16/2024","998.28","1,000.97","1,005.20","997.26","204.23M","-0.60%"
"02/15/2024","1,004.31","998.25","1,005.04","997.11","221.13M","0.69%"
"02/14/2024","997.44","989.82","997.77","987.84","274.65M","1.67%"
"02/13/2024","981.04","983.95","983.95","974.21","236.15M","-1.01%"
"02/12/2024","991.07","989.35","993.86","988.39","189.34M","0.12%"
"02/09/2024","989.85","989.30","990.04","984.50","193.60M","0.12%"
"02/08/2024","988.70","989.42","990.49","984.41","204.35M","0.05%"
