"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","406.41","412.34","413.56","406.41","169.85M","-0.88%"
"12/02/2024","410.01","418.89","418.95","409.88","144.79M","-2.08%"
"11/29/2024","418.72","420.32","420.34","418.04","57.55M","-0.05%"
"11/27/2024","418.94","420.51","421.57","418.57","96.22M","-0.02%"
"11/26/2024","419.01","413.51","419.23","412.76","120.28M","1.56%"
"11/25/2024","412.57","414.32","415.67","409.39","161.91M","0.20%"
"11/22/2024","411.75","415.48","415.85","411.56","121.89M","-0.66%"
"11/21/2024","414.48","407.79","414.81","405.98","129.32M","1.75%"
"11/20/2024","407.35","407.76","409.16","405.31","102.65M","0.08%"
"11/19/2024","407.04","402.94","407.15","401.11","110.90M","0.66%"
"11/18/2024","404.36","400.68","405.61","400.31","113.26M","0.72%"
"11/15/2024","401.46","395.01","401.70","395.01","147.75M","1.47%"
"11/14/2024","395.66","397.31","399.51","395.13","105.93M","-0.38%"
"11/13/2024","397.18","399.90","400.48","395.52","120.88M","-0.24%"
"11/12/2024","398.14","402.05","402.32","396.23","120.53M","-1.13%"
"11/11/2024","402.69","401.78","405.06","400.76","127.68M","0.30%"
"11/08/2024","401.48","396.19","402.47","396.15","147.75M","1.79%"
"11/07/2024","394.42","395.71","398.21","392.29","167.44M","0.15%"
"11/06/2024","393.82","394.40","395.42","390.01","196.65M","-0.98%"
"11/05/2024","397.71","391.34","397.75","390.69","116.54M","1.48%"
"11/04/2024","391.92","392.27","394.54","389.80","163.16M","-1.21%"
"11/01/2024","396.74","405.27","406.83","396.34","152.23M","-2.26%"
"10/31/2024","405.90","402.49","408.73","402.40","146.65M","1.04%"
"10/30/2024","401.71","404.03","404.84","401.02","113.17M","-0.24%"
"10/29/2024","402.66","406.56","406.79","402.62","112.40M","-2.13%"
"10/28/2024","411.43","410.03","413.18","409.53","76.28M","0.79%"
"10/25/2024","408.22","416.25","416.36","407.95","84.65M","-1.46%"
"10/24/2024","414.26","417.28","417.89","413.02","83.40M","-0.71%"
"10/23/2024","417.22","413.14","417.24","413.08","96.62M","1.01%"
"10/22/2024","413.03","412.14","413.91","409.89","91.22M","-0.40%"
"10/21/2024","414.67","417.34","418.36","412.99","83.74M","-0.36%"
"10/18/2024","416.16","413.36","416.46","411.87","91.85M","0.56%"
"10/17/2024","413.86","418.85","418.88","413.58","107.43M","-0.93%"
"10/16/2024","417.73","410.99","418.29","409.64","106.42M","2.03%"
"10/15/2024","409.40","409.90","412.35","408.90","113.97M","0.45%"
"10/14/2024","407.58","403.02","407.89","402.62","86.13M","1.29%"
"10/11/2024","402.39","397.54","402.45","396.55","90.70M","0.89%"
"10/10/2024","398.84","400.60","403.72","398.74","93.21M","-0.31%"
"10/09/2024","400.08","402.24","403.55","397.94","107.12M","-0.88%"
"10/08/2024","403.65","404.65","406.37","403.64","96.09M","0.06%"
"10/07/2024","403.42","411.38","411.87","402.38","132.85M","-2.32%"
"10/04/2024","413.01","409.97","413.49","408.93","112.64M","-0.17%"
"10/03/2024","413.70","415.44","416.79","412.71","110.64M","-0.02%"
"10/02/2024","413.80","410.87","414.53","410.46","100.59M","0.05%"
"10/01/2024","413.59","410.26","414.18","407.47","103.17M","0.81%"
"09/30/2024","410.28","409.65","410.57","405.79","115.31M","0.42%"
"09/27/2024","408.55","406.11","409.59","405.97","84.60M","1.01%"
"09/26/2024","404.46","406.55","408.00","403.40","96.69M","-0.72%"
"09/25/2024","407.40","406.86","408.61","404.01","114.33M","0.54%"
"09/24/2024","405.21","405.88","410.41","404.61","125.35M","-0.76%"
"09/23/2024","408.30","406.76","408.53","405.24","129.96M","0.97%"
"09/20/2024","404.37","398.67","405.06","398.34","276.93M","2.69%"
"09/19/2024","393.79","395.39","395.89","390.65","142.09M","-0.57%"
"09/18/2024","396.06","398.32","399.63","394.66","114.21M","-0.77%"
"09/17/2024","399.12","399.52","400.64","397.94","98.32M","-0.08%"
"09/16/2024","399.45","398.41","400.60","396.79","101.73M","0.74%"
"09/13/2024","396.53","391.94","396.61","390.91","90.08M","1.41%"
"09/12/2024","391.03","390.44","391.74","388.80","117.37M","0.17%"
"09/11/2024","390.38","388.68","390.61","384.68","120.28M","0.34%"
"09/10/2024","389.05","388.09","390.69","386.72","119.95M","0.44%"
"09/09/2024","387.34","384.68","387.39","382.90","111.32M","0.98%"
"09/06/2024","383.58","387.82","388.68","383.53","108.29M","-0.94%"
"09/05/2024","387.21","391.57","391.57","386.14","106.07M","-0.27%"
"09/04/2024","388.27","386.49","391.01","386.35","107.00M","0.85%"
"09/03/2024","385.00","385.40","387.69","383.70","116.53M","-0.13%"
"08/30/2024","385.51","383.23","385.98","381.97","114.66M","0.61%"
"08/29/2024","383.17","381.70","383.45","378.58","103.74M","0.55%"
"08/28/2024","381.09","382.01","384.25","380.78","89.01M","-0.01%"
"08/27/2024","381.11","383.44","384.53","380.87","76.50M","-0.74%"
"08/26/2024","383.95","383.11","385.55","382.82","84.12M","0.61%"
"08/23/2024","381.64","381.91","383.33","380.53","85.50M","0.29%"
"08/22/2024","380.52","380.69","382.15","379.06","101.03M","-0.17%"
"08/21/2024","381.17","378.84","382.14","378.52","79.68M","0.74%"
"08/20/2024","378.37","379.28","380.37","377.96","79.01M","-0.25%"
"08/19/2024","379.31","377.18","379.42","376.70","74.51M","0.59%"
"08/16/2024","377.07","376.03","378.25","374.13","107.54M","0.40%"
"08/15/2024","375.58","373.92","376.66","372.27","98.25M","-0.02%"
"08/14/2024","375.66","374.70","377.81","372.84","88.57M","-0.10%"
"08/13/2024","376.02","375.75","376.38","373.86","102.52M","0.52%"
"08/12/2024","374.07","373.25","374.10","371.34","94.17M","0.16%"
"08/09/2024","373.46","372.83","373.96","367.17","97.65M","0.26%"
"08/08/2024","372.49","370.74","374.63","369.77","128.48M","0.15%"
"08/07/2024","371.92","372.59","376.28","370.75","123.10M","0.55%"
"08/06/2024","369.89","367.74","374.16","367.74","123.39M","0.82%"
"08/05/2024","366.87","377.55","378.17","366.57","149.59M","-2.69%"
"08/02/2024","377.01","380.46","383.51","371.77","167.09M","0.14%"
"08/01/2024","376.49","370.08","376.80","370.02","137.96M","1.85%"
"07/31/2024","369.64","370.53","370.54","366.20","173.20M","1.25%"
"07/30/2024","365.08","362.74","365.31","362.13","106.34M","0.55%"
"07/29/2024","363.10","362.48","364.29","359.99","90.72M","0.45%"
"07/26/2024","361.49","360.66","362.23","359.62","90.20M","0.99%"
"07/25/2024","357.95","362.45","364.55","356.50","141.81M","-0.88%"
"07/24/2024","361.12","358.61","362.41","357.41","114.79M","1.16%"
"07/23/2024","356.99","358.40","359.22","356.77","75.63M","-0.65%"
"07/22/2024","359.34","357.91","359.95","357.04","82.73M","0.87%"
"07/19/2024","356.24","357.22","357.34","354.21","83.99M","0.11%"
"07/18/2024","355.85","355.36","359.25","355.36","103.53M","-0.06%"
"07/17/2024","356.08","355.74","360.65","354.74","133.06M","0.04%"
"07/16/2024","355.95","355.51","356.52","354.30","101.67M","0.77%"
"07/15/2024","353.22","358.58","358.90","352.59","124.97M","-2.39%"
"07/12/2024","361.87","360.27","364.33","359.18","108.28M","0.73%"
"07/11/2024","359.26","354.73","360.25","354.55","105.93M","1.83%"
"07/10/2024","352.80","350.78","352.89","348.33","89.50M","0.94%"
"07/09/2024","349.50","348.41","352.51","348.26","101.16M","0.28%"
"07/08/2024","348.53","347.99","349.67","347.25","81.40M","0.07%"
"07/05/2024","348.28","348.04","349.85","346.78","97.60M","0.19%"
"07/03/2024","347.63","345.87","350.11","345.44","51.07M","0.63%"
"07/02/2024","345.46","344.54","346.19","344.26","93.39M","0.44%"
"07/01/2024","343.95","349.20","350.42","343.50","97.94M","-0.69%"
"06/28/2024","346.33","350.14","350.48","344.57","219.56M","-1.08%"
"06/27/2024","350.12","349.21","350.55","347.71","95.16M","0.15%"
"06/26/2024","349.61","349.39","350.37","347.64","97.02M","-0.38%"
"06/25/2024","350.96","353.87","354.69","349.97","97.00M","-0.98%"
"06/24/2024","354.43","350.10","355.62","349.64","111.08M","1.25%"
"06/21/2024","350.06","353.09","353.63","349.70","228.91M","-0.54%"
"06/20/2024","351.95","349.46","352.65","349.15","118.80M","0.89%"
"06/18/2024","348.84","345.99","349.04","345.66","131.89M","0.02%"
"06/17/2024","348.78","350.62","351.62","348.51","103.50M","-1.14%"
"06/14/2024","352.79","351.84","353.16","350.07","77.70M","-0.26%"
"06/13/2024","353.70","353.19","355.02","350.06","113.47M","0.23%"
"06/12/2024","352.88","359.44","359.55","351.84","114.18M","-0.67%"
"06/11/2024","355.26","353.88","355.79","352.38","123.59M","-0.63%"
"06/10/2024","357.53","352.90","358.02","352.05","113.31M","1.27%"
"06/07/2024","353.03","352.92","356.57","352.89","95.61M","-1.09%"
"06/06/2024","356.91","360.09","361.96","356.51","96.41M","-1.03%"
"06/05/2024","360.63","362.30","362.69","360.14","94.09M","-0.58%"
"06/04/2024","362.75","361.75","364.03","358.82","112.86M","-0.02%"
"06/03/2024","362.83","366.70","366.70","361.67","126.34M","-1.26%"
