"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","137.59","135.64","138.68","135.08","140.60M","1.44%"
"12/30/2008","135.64","131.93","135.64","131.93","135.79M","2.77%"
"12/29/2008","131.99","134.47","134.91","129.57","173.28M","-2.06%"
"12/26/2008","134.77","132.50","135.05","132.13","49.34M","1.71%"
"12/24/2008","132.50","132.23","133.35","131.66","37.34M","0.20%"
"12/23/2008","132.23","132.80","135.38","132.01","99.68M","-0.43%"
"12/22/2008","132.80","138.04","138.41","130.46","130.84M","-3.80%"
"12/19/2008","138.04","139.86","141.44","137.45","176.57M","-1.30%"
"12/18/2008","139.86","146.08","146.38","138.81","154.89M","-4.26%"
"12/17/2008","146.08","145.92","148.60","144.27","161.21M","0.10%"
"12/16/2008","145.94","137.60","146.10","137.60","158.67M","6.06%"
"12/15/2008","137.60","138.13","141.23","135.75","135.52M","-0.38%"
"12/12/2008","138.13","137.27","139.86","132.93","150.89M","0.61%"
"12/11/2008","137.29","143.64","145.76","136.13","169.21M","-4.43%"
"12/10/2008","143.66","139.93","145.56","139.93","172.71M","2.67%"
"12/09/2008","139.93","140.95","145.25","137.62","188.90M","-0.72%"
"12/08/2008","140.95","130.87","142.37","130.87","216.66M","7.70%"
"12/05/2008","130.87","127.41","131.05","121.24","202.12M","2.72%"
"12/04/2008","127.41","130.65","131.61","125.47","169.72M","-2.48%"
"12/03/2008","130.65","130.74","131.13","124.92","182.99M","-0.15%"
"12/02/2008","130.85","125.10","131.07","125.10","148.24M","4.60%"
"12/01/2008","125.10","138.64","138.64","124.82","161.61M","-9.77%"
"11/28/2008","138.64","137.62","138.64","134.75","61.19M","0.74%"
"11/26/2008","137.62","132.47","137.86","128.77","150.68M","3.88%"
"11/25/2008","132.48","128.33","133.08","126.91","182.96M","3.22%"
"11/24/2008","128.35","120.36","131.23","120.36","208.58M","6.61%"
"11/21/2008","120.39","112.06","120.75","112.06","265.86M","7.43%"
"11/20/2008","112.06","122.19","124.40","111.55","254.18M","-8.29%"
"11/19/2008","122.19","132.00","132.98","122.12","192.28M","-7.43%"
"11/18/2008","132.00","132.20","134.30","128.12","156.43M","-0.15%"
"11/17/2008","132.20","135.66","137.54","131.39","149.70M","-2.55%"
"11/14/2008","135.66","144.59","144.59","135.63","164.47M","-6.18%"
"11/13/2008","144.59","133.47","144.75","129.27","284.28M","8.28%"
"11/12/2008","133.53","142.46","142.46","133.53","181.04M","-6.43%"
"11/11/2008","142.70","149.02","149.02","140.05","144.40M","-4.24%"
"11/10/2008","149.02","149.58","155.27","147.02","133.70M","-0.37%"
"11/07/2008","149.58","144.37","149.82","144.30","132.02M","3.59%"
"11/06/2008","144.39","152.89","152.97","143.93","171.23M","-5.59%"
"11/05/2008","152.94","163.30","163.30","152.70","154.87M","-6.44%"
"11/04/2008","163.46","154.66","164.10","154.66","165.02M","5.69%"
"11/03/2008","154.66","156.16","158.33","152.57","131.51M","-0.96%"
"10/31/2008","156.16","154.82","159.39","150.83","157.77M","0.87%"
"10/30/2008","154.82","150.45","157.07","147.84","197.52M","2.90%"
"10/29/2008","150.45","146.41","156.70","144.58","232.42M","2.74%"
"10/28/2008","146.44","130.00","146.44","129.65","233.89M","12.65%"
"10/27/2008","130.00","136.50","140.19","130.00","181.28M","-4.76%"
"10/24/2008","136.50","141.93","141.93","133.73","221.72M","-3.83%"
"10/23/2008","141.93","143.67","147.71","135.23","264.91M","-1.21%"
"10/22/2008","143.67","156.63","156.63","140.01","243.29M","-8.27%"
"10/21/2008","156.63","166.02","166.02","156.48","182.70M","-5.66%"
"10/20/2008","166.02","153.51","166.03","153.51","169.75M","8.15%"
"10/17/2008","153.51","153.96","161.06","148.69","203.89M","-0.29%"
"10/16/2008","153.96","148.18","154.46","141.27","277.62M","3.90%"
"10/15/2008","148.18","168.64","168.64","148.01","216.08M","-12.13%"
"10/14/2008","168.64","173.88","178.88","164.35","221.61M","-3.01%"
"10/13/2008","173.88","153.49","174.12","153.49","209.99M","13.28%"
"10/10/2008","153.49","156.73","161.98","144.65","308.27M","-2.14%"
"10/09/2008","156.85","168.46","176.56","156.85","220.44M","-6.89%"
"10/08/2008","168.46","164.15","177.09","158.67","317.75M","2.63%"
"10/07/2008","164.15","173.36","178.58","163.96","223.13M","-5.31%"
"10/06/2008","173.36","181.28","181.28","162.63","256.53M","-4.37%"
"10/03/2008","181.28","181.38","191.33","180.37","183.82M","-0.06%"
"10/02/2008","181.38","197.10","197.10","180.59","218.80M","-7.98%"
"10/01/2008","197.10","200.58","200.87","194.53","142.98M","-1.77%"
"09/30/2008","200.66","194.88","201.36","194.88","157.96M","2.97%"
"09/29/2008","194.88","213.02","213.02","192.04","200.05M","-8.54%"
"09/26/2008","213.08","218.59","218.59","210.02","135.08M","-2.66%"
"09/25/2008","218.91","219.89","221.21","217.04","137.35M","-0.45%"
"09/24/2008","219.89","221.56","222.78","218.77","118.36M","-0.75%"
"09/23/2008","221.56","228.85","229.54","221.49","130.98M","-3.19%"
"09/22/2008","228.85","236.13","236.60","228.55","132.77M","-3.08%"
"09/19/2008","236.13","223.47","236.52","223.47","198.23M","5.67%"
"09/18/2008","223.47","218.94","226.36","212.17","228.62M","2.07%"
"09/17/2008","218.94","227.04","227.04","215.53","208.83M","-3.57%"
"09/16/2008","227.04","220.87","227.04","215.27","212.20M","2.79%"
"09/15/2008","220.88","233.09","233.09","220.88","163.28M","-5.24%"
"09/12/2008","233.09","225.81","233.37","225.07","138.46M","3.22%"
"09/11/2008","225.82","220.94","226.03","216.16","165.18M","2.20%"
"09/10/2008","220.96","216.86","223.47","215.68","163.74M","1.89%"
"09/09/2008","216.86","227.39","227.39","216.86","202.21M","-4.63%"
"09/08/2008","227.39","228.17","233.18","223.88","151.57M","-0.35%"
"09/05/2008","228.18","225.63","228.98","220.12","160.24M","1.13%"
"09/04/2008","225.63","234.62","234.63","205.15","146.32M","-3.83%"
"09/03/2008","234.62","236.18","239.42","231.64","126.23M","-0.71%"
"09/02/2008","236.29","242.46","242.72","235.77","115.14M","-2.54%"
"08/29/2008","242.46","245.90","245.90","242.46","58.82M","-1.40%"
"08/28/2008","245.90","242.56","246.05","242.56","75.65M","1.37%"
"08/27/2008","242.57","239.81","243.44","239.81","61.08M","1.15%"
"08/26/2008","239.81","238.28","240.25","236.87","68.38M","0.64%"
